,Sack,Pass Yards Allowed,Point After,Safety,Week,Points,Year,Touchdowns,Rush Yards Allowed,Interception,Total Yards,Blocks,Away Games,Fumble Returns,Opponent,Position,Team
0,128.0,6.453625879211213e+16,268435456.0,0.0,1,4586471424.0,2016,128.0,4398046511104.0,1.0,3.1463684482922906e+17,0.0,1.0,128.0,Titans,DST,Vikings
1,2187.0,4.586471424e+16,35831808.0,0.0,1,268435456.0,2016,0.0,221068140740608.0,1.0,6.695740970924769e+17,1.0,1.0,1.0,Seahawks,DST,Dolphins
2,128.0,358318080000000.0,0.0,0.0,1,268435456.0,2016,0.0,4902227890625.0,128.0,7416552901015625.0,0.0,0.0,0.0,LA,DST,49ers
3,2187.0,3777156435935232.0,10000000.0,1.0,1,105413504.0,2016,0.0,358318080000000.0,1.0,1.643415634622546e+17,0.0,0.0,0.0,Browns,DST,Eagles
4,78125.0,1708593750000000.0,10000000.0,0.0,1,105413504.0,2016,0.0,4398046511104.0,0.0,2.0554002898923904e+16,1.0,0.0,0.0,Dolphins,DST,Seahawks
5,16384.0,2.9192926025390624e+16,62748517.0,0.0,1,62748517.0,2016,0.0,27136050989627.0,0.0,2.6293900520411955e+17,0.0,1.0,1.0,Ravens,DST,Bills
6,78125.0,7416552901015625.0,105413504.0,0.0,1,19487171.0,2016,0.0,11047398519097.0,1.0,7.609181471884915e+16,0.0,0.0,0.0,Bears,DST,Texans
7,823543.0,3.74813367582081e+17,3404825447.0,0.0,1,10000000.0,2016,0.0,1954897493193.0,1.0,1.165399506181955e+18,0.0,0.0,0.0,Bengals,DST,Jets
8,128.0,69833729609375.0,823543.0,0.0,1,4782969.0,2016,0.0,4902227890625.0,0.0,2684354560000000.0,0.0,0.0,0.0,Bills,DST,Ravens
9,128.0,2569093262823519.0,1801088541.0,0.0,1,4782969.0,2016,0.0,1555363874947072.0,128.0,2.5702101145811645e+17,0.0,1.0,1.0,Broncos,DST,Panthers
10,2187.0,5231047633534976.0,1280000000.0,0.0,1,4782969.0,2016,0.0,2351243277537493.0,1.0,4.540562254389479e+17,0.0,0.0,0.0,Panthers,DST,Broncos
11,128.0,1.4206014885142786e+16,1280000000.0,0.0,1,2097152.0,2016,0.0,235260548044817.0,1.0,3.1463684482922906e+17,0.0,0.0,0.0,Giants,DST,Cowboys
12,0.0,4.172259244954604e+17,268435456.0,0.0,1,2097152.0,2016,0.0,1522435234375.0,128.0,1.2311715481324093e+18,0.0,1.0,0.0,Redskins,DST,Steelers
13,128.0,7.40511595315218e+16,3404825447.0,0.0,1,823543.0,2016,0.0,150363025899136.0,0.0,8.305128860465481e+17,0.0,0.0,128.0,Patriots,DST,Cardinals
14,1.0,8300513205665792.0,2494357888.0,0.0,1,279936.0,2016,0.0,1874584905187328.0,1.0,5.2523350144e+17,1.0,1.0,0.0,Jets,DST,Bengals
15,2187.0,2.187e+17,3404825447.0,0.0,1,279936.0,2016,0.0,587068342272.0,1.0,6.180942559278367e+17,0.0,1.0,0.0,Jaguars,DST,Packers
16,128.0,2.1235828992734376e+16,3404825447.0,0.0,1,78125.0,2016,0.0,594467302491009.0,1.0,5.7004494392026726e+17,0.0,1.0,0.0,Texans,DST,Bears
17,2187.0,4.2618442977e+17,42618442977.0,0.0,1,78125.0,2016,0.0,27136050989627.0,1.0,2.0495115097622938e+18,0.0,1.0,0.0,Chiefs,DST,Chargers
18,128.0,9.139758714658488e+17,64339296875.0,1.0,1,16384.0,2016,0.0,24928547056768.0,0.0,3.73669453125e+18,0.0,1.0,0.0,Colts,DST,Lions
19,2187.0,6.453625879211213e+16,1801088541.0,0.0,1,16384.0,2016,0.0,55784660123648.0,0.0,5.7004494392026726e+17,0.0,1.0,0.0,Cardinals,DST,Patriots
20,0.0,3.1058537410917804e+16,893871739.0,0.0,1,16384.0,2016,0.0,107213535210701.0,0.0,4.084293149780869e+17,0.0,1.0,0.0,Cowboys,DST,Giants
21,2187.0,3.589145808766363e+17,4586471424.0,0.0,1,16384.0,2016,0.0,1028071702528.0,0.0,1.0235315057490026e+18,0.0,1.0,0.0,Falcons,DST,Buccaneers
22,1.0,2.2672434753549786e+18,52523350144.0,0.0,1,2187.0,2016,0.0,40867559636992.0,0.0,8.611042155524345e+18,0.0,1.0,1.0,Saints,DST,Raiders
23,1.0,1.7249876309e+17,114415582592.0,0.0,1,2187.0,2016,0.0,1483273860320763.0,1.0,3.043477243301342e+18,0.0,0.0,0.0,Steelers,DST,Redskins
24,0.0,1.3833887492036837e+17,27512614111.0,0.0,1,128.0,2016,0.0,47829690000000.0,1.0,9.674251362347825e+17,0.0,0.0,0.0,Buccaneers,DST,Falcons
25,128.0,1.0460353203e+17,17249876309.0,0.0,1,128.0,2016,0.0,736141813551277.0,0.0,1.7263757342585234e+18,0.0,1.0,0.0,Eagles,DST,Browns
26,1.0,1.23586642791614e+16,10460353203.0,0.0,1,128.0,2016,0.0,69833729609375.0,0.0,1.8985905412105766e+17,0.0,0.0,0.0,Packers,DST,Jaguars
27,1.0,3.7281334283719576e+16,10460353203.0,0.0,1,128.0,2016,0.0,2149422977421875.0,0.0,1.3237990928894034e+18,0.0,0.0,0.0,Chargers,DST,Chiefs
28,0.0,4103386730000000.0,13492928512.0,0.0,1,128.0,2016,0.0,1708593750000000.0,0.0,3.4359738368e+17,0.0,1.0,1.0,49ers,DST,Los Angeles RamsLos Angeles
29,1.0,4.445970594140488e+17,137231006679.0,0.0,1,1.0,2016,0.0,282621973446656.0,0.0,3.6219804178941215e+18,0.0,0.0,0.0,Lions,DST,Colts
30,0.0,4.07740659272745e+16,6103515625.0,0.0,1,1.0,2016,0.0,4902227890625.0,0.0,2.238543144468921e+17,0.0,0.0,0.0,Min,DST,Titans
31,0.0,3.3615128936233184e+17,64339296875.0,0.0,1,0.0,2016,0.0,3622557586593623.0,0.0,6.404037772671962e+18,0.0,0.0,0.0,Raiders,DST,Saints
32,2187.0,2.574814319849794e+16,823543.0,0.0,2,8031810176.0,2016,1.0,32057708828125.0,16384.0,2.5121755551489754e+17,0.0,0.0,1.0,Buccaneers,DST,Cardinals
33,78125.0,4103386730000000.0,1280000000.0,0.0,2,6103515625.0,2016,128.0,27136050989627.0,1.0,6.635041571084044e+16,0.0,0.0,1.0,Colts,DST,Broncos
34,16384.0,4453476124377088.0,35831808.0,0.0,2,410338673.0,2016,0.0,337931541778439.0,0.0,1.7670584815363312e+17,0.0,0.0,2187.0,Chiefs,DST,Texans
35,128.0,5.6089126010461064e+16,62748517.0,0.0,2,410338673.0,2016,1.0,194754273881.0,0.0,1.643415634622546e+17,1.0,0.0,0.0,Saints,DST,Giants
36,2187.0,4.860797869865485e+16,1280000000.0,0.0,2,170859375.0,2016,0.0,1347646586640625.0,128.0,1.3000999905478367e+18,1.0,1.0,0.0,Browns,DST,Ravens
37,128.0,4.1998948952729736e+16,10460353203.0,0.0,2,170859375.0,2016,1.0,4902227890625.0,128.0,2.2911240318061453e+17,0.0,0.0,1.0,49ers,DST,Panthers
38,78125.0,6122200320000000.0,105413504.0,0.0,2,170859375.0,2016,0.0,27136050989627.0,1.0,8.703425965985176e+16,0.0,0.0,128.0,Packers,DST,Vikings
39,128.0,4.454359927943208e+16,2187.0,0.0,2,105413504.0,2016,0.0,6060711605323.0,0.0,2.5121755551489754e+17,0.0,0.0,1.0,Seahawks,DST,Los Angeles RamsLos Angeles
40,2187.0,2.494357888e+16,105413504.0,0.0,2,62748517.0,2016,0.0,4398046511104.0,1.0,1.4901444867507814e+17,0.0,1.0,128.0,Bears,DST,Eagles
41,128.0,6.830035133962807e+17,268435456.0,0.0,2,35831808.0,2016,0.0,4398046511104.0,0.0,2.1925645337550518e+18,0.0,1.0,2187.0,Giants,DST,Saints
42,128.0,3.3615128936233184e+17,105413504.0,0.0,2,35831808.0,2016,0.0,7446353252589.0,128.0,1.3237990928894034e+18,0.0,0.0,1.0,Jaguars,DST,Chargers
43,2187.0,2.8296722014797824e+16,268435456.0,1.0,2,19487171.0,2016,0.0,1002544368429379.0,1.0,8.305128860465481e+17,0.0,0.0,0.0,Titans,DST,Lions
44,1.0,6.830035133962807e+17,435817657216.0,0.0,2,19487171.0,2016,0.0,5231047633534976.0,1.0,1.1592836324538749e+19,1.0,1.0,2187.0,Panthers,DST,49ers
45,16384.0,6.820811010118438e+16,410338673.0,0.0,2,10000000.0,2016,0.0,21870000000.0,0.0,1.4901444867507814e+17,0.0,1.0,1.0,Min,DST,Packers
46,128.0,6.820811010118438e+16,893871739.0,0.0,2,10000000.0,2016,0.0,80798284478113.0,128.0,6.563716507844499e+17,0.0,1.0,0.0,Texans,DST,Chiefs
47,2187.0,2.416066056126514e+16,4782969.0,0.0,2,10000000.0,2016,0.0,4398046511104.0,0.0,1.4538012859382624e+17,0.0,1.0,0.0,LA,DST,Seahawks
48,16384.0,4.325523734764019e+16,170859375.0,0.0,2,10000000.0,2016,0.0,905824306333433.0,1.0,1.0428428649902344e+18,0.0,1.0,0.0,Lions,DST,Titans
49,1.0,9.4931877133e+17,94931877133.0,0.0,2,4782969.0,2016,1.0,425927596977747.0,0.0,7.078291354049198e+18,0.0,0.0,1.0,Jets,DST,Bills
50,0.0,1.3000999905478367e+18,4586471424.0,0.0,2,4782969.0,2016,0.0,8235430000000.0,128.0,4.1630670005013105e+18,0.0,0.0,128.0,Dolphins,DST,Patriots
51,1.0,8.797668585443747e+17,268435456.0,0.0,2,4782969.0,2016,0.0,435817657216.0,0.0,2.015025341112107e+18,0.0,0.0,128.0,Bengals,DST,Steelers
52,128.0,6122200320000000.0,17249876309.0,0.0,2,2097152.0,2016,1.0,100000000000000.0,0.0,1.3492928512e+17,0.0,0.0,0.0,Eagles,DST,Bears
53,16384.0,1.2832567915896051e+17,10460353203.0,0.0,2,823543.0,2016,0.0,114868566764928.0,0.0,1.14415582592e+18,0.0,0.0,1.0,Cowboys,DST,Redskins
54,1.0,6.103515625e+16,4586471424.0,0.0,2,279936.0,2016,0.0,450766669594624.0,128.0,1.0235315057490026e+18,0.0,1.0,0.0,Steelers,DST,Bengals
55,0.0,2.2911240318061453e+17,6103515625.0,0.0,2,78125.0,2016,0.0,20971520000000.0,128.0,1.1869803799135273e+18,0.0,0.0,0.0,Ravens,DST,Browns
56,128.0,6.4339296875e+17,3404825447.0,0.0,2,78125.0,2016,0.0,24928547056768.0,1.0,2.8079296819683656e+18,0.0,1.0,0.0,Redskins,DST,Cowboys
57,2187.0,1.6285174563412142e+16,114415582592.0,0.0,2,78125.0,2016,0.0,1708593750000000.0,0.0,7.390562818694461e+17,0.0,1.0,1.0,Chargers,DST,Jaguars
58,128.0,2.2911240318061453e+17,27512614111.0,0.0,2,16384.0,2016,0.0,2804020163098721.0,0.0,4.5610720962113044e+18,0.0,1.0,1.0,Patriots,DST,Dolphins
59,1.0,9.422615213456346e+16,52523350144.0,0.0,2,2187.0,2016,0.0,775771085481344.0,1.0,1.6384e+18,0.0,1.0,0.0,Broncos,DST,Colts
60,1.0,1.3478675236495237e+18,64339296875.0,0.0,2,2187.0,2016,0.0,1002544368429379.0,1.0,1.1440301174540993e+19,0.0,0.0,0.0,Falcons,DST,Raiders
61,0.0,2.5702101145811645e+17,27512614111.0,0.0,2,128.0,2016,0.0,34792782221696.0,1.0,1.4479309540970737e+18,0.0,1.0,0.0,Bills,DST,Jets
62,1.0,2.136477474431121e+17,13492928512.0,0.0,2,1.0,2016,0.0,2149422977421875.0,0.0,3.975492788597479e+18,0.0,1.0,0.0,Raiders,DST,Falcons
63,1.0,2.8139911237115526e+17,163840000000.0,0.0,2,1.0,2016,0.0,140710042265625.0,0.0,2.1560226271000003e+18,0.0,1.0,0.0,Cardinals,DST,Buccaneers
64,0.0,8300513205665792.0,2187.0,0.0,3,114415582592.0,2016,128.0,300124211606973.0,279936.0,2.4552678406414064e+17,0.0,0.0,128.0,Jets,DST,Chiefs
65,2097152.0,1.32547762808414e+16,10000000.0,1.0,3,17249876309.0,2016,1.0,140710042265625.0,2187.0,2.5121755551489754e+17,0.0,1.0,0.0,Panthers,DST,Vikings
66,78125.0,8.031810176e+16,612220032.0,0.0,3,6103515625.0,2016,1.0,40867559636992.0,16384.0,6.180942559278367e+17,0.0,0.0,1.0,Cardinals,DST,Bills
67,16384.0,2.657484995710349e+16,2187.0,0.0,3,1280000000.0,2016,0.0,17249876309.0,1.0,6.276478570443925e+16,1.0,0.0,1.0,Steelers,DST,Eagles
68,128.0,5026507568359375.0,0.0,0.0,3,612220032.0,2016,0.0,182803912081669.0,1.0,1.4901444867507814e+17,0.0,0.0,128.0,Texans,DST,Patriots
69,16384.0,3777156435935232.0,410338673.0,0.0,3,268435456.0,2016,0.0,587068342272.0,2187.0,2.1936950640377856e+16,1.0,1.0,0.0,Jaguars,DST,Ravens
70,1.0,1.924646731508941e+16,10000000.0,0.0,3,105413504.0,2016,0.0,6364290927201661.0,128.0,1.4479309540970737e+18,0.0,1.0,1.0,Titans,DST,Raiders
71,1.0,2.8139911237115526e+17,21870000000.0,0.0,3,62748517.0,2016,1.0,266001988046875.0,128.0,2.546051556659343e+18,0.0,1.0,1.0,Dolphins,DST,Browns
72,128.0,3.216731674739636e+17,8031810176.0,0.0,3,62748517.0,2016,1.0,60170087060757.0,1.0,1.94754273881e+18,0.0,1.0,1.0,Colts,DST,Chargers
73,128.0,7.685305573422409e+17,34359738368.0,0.0,3,35831808.0,2016,1.0,266001988046875.0,1.0,5.375865465949406e+18,0.0,1.0,1.0,Saints,DST,Falcons
