,Sack,Pass Yards Allowed,Point After,Safety,Week,Points,Year,Touchdowns,Rush Yards Allowed,Interception,Total Yards,Blocks,Away Games,Fumble Returns,Opponent,Position,Team
3072,15625.0,23298085122481.0,531441.0,0.0,1,191102976.0,2015,1.0,782757789696.0,64.0,346318142640625.0,0.0,1.0,1.0,Jaguars,DST,Panthers
3073,729.0,104413920565969.0,1000000.0,0.0,1,64000000.0,2015,0.0,1265319018496.0,1.0,1094032426497921.0,0.0,0.0,4096.0,Browns,DST,Jets
3074,64.0,442032795979776.0,1544804416.0,0.0,1,64000000.0,2015,64.0,192699928576.0,0.0,1902199139467264.0,0.0,1.0,729.0,Rams,DST,Seahawks
3075,64.0,1000000000000.0,4826809.0,0.0,1,47045881.0,2015,1.0,151334226289.0,64.0,26808753332089.0,0.0,0.0,0.0,Ravens,DST,Broncos
3076,1.0,44151665987584.0,1000000.0,0.0,1,34012224.0,2015,1.0,17416274304961.0,64.0,1806976738085401.0,0.0,1.0,0.0,Redskins,DST,Dolphins
3077,4096.0,35161828327081.0,7529536.0,0.0,1,34012224.0,2015,1.0,606355001344.0,64.0,413976684737889.0,0.0,1.0,0.0,Buccaneers,DST,Titans
3078,15625.0,30749609024289.0,729.0,0.0,1,24137569.0,2015,0.0,128100283921.0,1.0,232653764952064.0,0.0,0.0,0.0,Min,DST,49ers
3079,4096.0,11390625000000.0,47045881.0,0.0,1,16777216.0,2015,1.0,107918163081.0,1.0,110322650964681.0,0.0,1.0,0.0,Broncos,DST,Ravens
3080,64.0,3359431500123609.0,1291467969.0,0.0,1,7529536.0,2015,1.0,782757789696.0,64.0,1.2696463968316568e+16,0.0,1.0,1.0,Chargers,DST,Lions
3081,46656.0,110322650964681.0,887503681.0,0.0,1,7529536.0,2015,1.0,3635215077376.0,1.0,1628413597910449.0,0.0,0.0,0.0,Seahawks,DST,Rams
3082,64.0,37558352909169.0,4826809.0,0.0,1,4826809.0,2015,0.0,62523502209.0,1.0,221620863468096.0,0.0,1.0,1.0,Raiders,DST,Bengals
3083,15625.0,700321701542464.0,64000000.0,0.0,1,4826809.0,2015,0.0,885842380864.0,1.0,3856302691946496.0,0.0,1.0,1.0,Texans,DST,Chiefs
3084,0.0,2035635367776256.0,387420489.0,0.0,1,4826809.0,2015,1.0,262144000000.0,64.0,6869402054004736.0,0.0,1.0,1.0,Cowboys,DST,Giants
3085,64.0,191102976000000.0,7529536.0,0.0,1,2985984.0,2015,0.0,68719476736.0,64.0,789298907447296.0,0.0,0.0,1.0,Colts,DST,Bills
3086,64.0,15557597153344.0,64000000.0,0.0,1,1000000.0,2015,0.0,1340095640625.0,1.0,330928743953809.0,1.0,0.0,0.0,Panthers,DST,Jaguars
3087,1.0,20179187015625.0,64000000.0,0.0,1,531441.0,2015,0.0,148035889000000.0,0.0,3798241492515625.0,1.0,1.0,1.0,49ers,DST,Vikings
3088,729.0,36343632130624.0,24137569.0,0.0,1,531441.0,2015,0.0,164206490176.0,0.0,281474976710656.0,0.0,0.0,1.0,Dolphins,DST,Redskins
3089,64.0,1967974977554496.0,47045881.0,0.0,1,262144.0,2015,0.0,24794911296.0,1.0,4612761269305344.0,0.0,0.0,0.0,Saints,DST,Cardinals
3090,729.0,1291467969000000.0,85766121.0,0.0,1,46656.0,2015,0.0,5789336458816.0,1.0,9979479338254336.0,0.0,0.0,0.0,Steelers,DST,Patriots
3091,1.0,594823321000000.0,308915776.0,0.0,1,46656.0,2015,0.0,1340095640625.0,64.0,3798241492515625.0,0.0,1.0,0.0,Falcons,DST,Eagles
3092,0.0,1438916737499136.0,191102976.0,0.0,1,15625.0,2015,0.0,62523502209.0,64.0,4034942722397601.0,0.0,0.0,0.0,Eagles,DST,Falcons
3093,64.0,93385106978409.0,148035889.0,0.0,1,15625.0,2015,0.0,45579633110361.0,1.0,4220426278476864.0,0.0,1.0,0.0,Bears,DST,Packers
3094,1.0,160005726539569.0,481890304.0,0.0,1,15625.0,2015,0.0,107918163081.0,64.0,758650341657664.0,0.0,0.0,0.0,Lions,DST,Chargers
3095,64.0,40089475140625.0,5489031744.0,0.0,1,4096.0,2015,0.0,3635215077376.0,0.0,870464124169641.0,0.0,0.0,1.0,Titans,DST,Buccaneers
3096,64.0,160005726539569.0,387420489.0,0.0,1,729.0,2015,0.0,832972004929.0,0.0,1291467969000000.0,0.0,0.0,0.0,Chiefs,DST,Texans
3097,0.0,32894113444921.0,887503681.0,0.0,1,64.0,2015,0.0,13339032325696.0,1.0,1363532208525369.0,0.0,1.0,0.0,Jets,DST,Browns
3098,1.0,41407371740736.0,308915776.0,0.0,1,64.0,2015,0.0,941480149401.0,0.0,535881988265625.0,0.0,0.0,0.0,Giants,DST,Cowboys
3099,0.0,837201991720249.0,887503681.0,0.0,1,64.0,2015,0.0,2985984000000.0,0.0,6061320523197289.0,0.0,1.0,1.0,Cardinals,DST,Saints
3100,0.0,378890468381881.0,1291467969.0,0.0,1,64.0,2015,0.0,4195872914689.0,0.0,3856302691946496.0,1.0,0.0,0.0,Bengals,DST,Raiders
3101,64.0,492309163417681.0,481890304.0,0.0,1,64.0,2015,0.0,262144000000.0,0.0,2213314919066161.0,0.0,1.0,0.0,Patriots,DST,Steelers
3102,0.0,54980371265625.0,387420489.0,0.0,1,1.0,2015,0.0,10090298369529.0,0.0,1600135042849344.0,0.0,1.0,0.0,Bills,DST,Colts
3103,0.0,45579633110361.0,887503681.0,0.0,1,0.0,2015,0.0,5534900853769.0,0.0,1114641555517504.0,0.0,0.0,0.0,Packers,DST,Bears
3104,117649.0,110322650964681.0,7529536.0,0.0,2,148035889.0,2015,1.0,20924183895616.0,0.0,3256599688890625.0,0.0,0.0,729.0,Titans,DST,Browns
3105,1.0,110322650964681.0,1000000.0,0.0,2,113379904.0,2015,1.0,117649.0,64.0,133244912166976.0,1.0,1.0,1.0,Eagles,DST,Cowboys
3106,15625.0,21691961596369.0,191102976.0,0.0,2,113379904.0,2015,1.0,10090298369529.0,64.0,958468597212736.0,0.0,1.0,729.0,Chiefs,DST,Broncos
3107,64.0,133244912166976.0,148035889.0,0.0,2,47045881.0,2015,64.0,1677100110841.0,64.0,1413412221390625.0,0.0,1.0,0.0,Bears,DST,Cardinals
3108,0.0,244140625000000.0,117649.0,0.0,2,24137569.0,2015,0.0,646990183449.0,729.0,1628413597910449.0,0.0,1.0,64.0,Colts,DST,Jets
