,Unnamed: 0,Unnamed: 0.1,Fumble TD,Fumbles Lost,Name,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year
320,320,320.0,0.0,0.0,Nathan Peterman,Bills,0.0,10.0,7.0,0.0,1.0,79.0,9.0,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2017.0
359,359,320.0,0.0,0.0,Nathan Peterman,Chargers,0.0,10.0,7.0,0.0,1.0,79.0,9.0,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2017.0
429,429,339.5,0.0,0.0,Nathan Peterman,Bills,0.0,12.0,6.5,2.5,0.5,72.5,0.5,QB,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,13,2017.0
