,Unnamed: 0,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year,Away Games
6,6,0,3,2,Phil Dawson,Packers,10.0,K,1,4,4,2013,0
58,58,0,1,1,Phil Dawson,Seahawks,3.0,K,2,0,0,2013,1
95,95,0,0,0,Phil Dawson,Colts,1.0,K,3,1,1,2013,0
124,124,0,2,0,Phil Dawson,Rams,5.0,K,4,5,5,2013,1
142,142,0,2,2,Phil Dawson,Texans,10.0,K,5,4,4,2013,0
162,162,0,3,3,Phil Dawson,Cardinals,12.0,K,6,3,3,2013,0
206,206,0,1,1,Phil Dawson,Titans,7.0,K,7,4,4,2013,1
235,235,0,0,0,Phil Dawson,Jaguars,6.0,K,8,6,6,2013,1
274,274,1,3,3,Phil Dawson,Panthers,11.0,K,10,0,0,2013,0
311,311,1,2,2,Phil Dawson,Saints,10.0,K,11,2,2,2013,1
342,342,0,2,2,Phil Dawson,Redskins,9.0,K,12,3,3,2013,1
364,364,0,3,3,Phil Dawson,Rams,11.0,K,13,2,2,2013,0
392,392,1,4,4,Phil Dawson,Seahawks,15.0,K,14,1,1,2013,0
423,423,0,4,4,Phil Dawson,Buccaneers,15.0,K,15,3,3,2013,1
463,463,0,2,2,Phil Dawson,Falcons,10.0,K,16,4,4,2013,0
487,487,1,4,3,Phil Dawson,Cardinals,13.0,K,17,2,2,2013,1
