Fumble TD,Fumbles Lost,Name,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year
0,0,Rob Gronkowski,Pit,0,0,0,0,0,0,27.0,TE,0,3,94,5,0,0,0,0,1,2015
0,0,Austin Seferian-Jenkins,Ten,0,0,0,0,0,0,23.0,TE,0,2,110,5,0,0,0,0,1,2015
0,0,Travis Kelce,@Hou,0,0,0,0,0,0,22.0,TE,0,2,106,6,0,0,0,0,1,2015
0,0,Tyler Eifert,@Oak,0,0,0,0,0,0,22.0,TE,0,2,104,9,0,0,0,0,1,2015
0,0,Jason Witten,NYG,0,0,0,0,0,0,18.0,TE,0,2,60,8,0,0,0,0,1,2015
0,0,Darren Fells,NO,0,0,0,0,0,0,14.0,TE,0,1,82,4,0,0,0,0,1,2015
0,0,Ladarius Green,Det,0,0,0,0,0,0,13.0,TE,0,1,74,5,0,0,0,0,1,2015
0,0,Jordan Reed,Mia,0,0,0,0,0,0,12.0,TE,0,1,63,7,0,0,0,0,1,2015
0,0,Jimmy Graham,@Stl,0,0,0,0,0,0,11.0,TE,0,1,51,6,0,0,0,0,1,2015
0,0,Eric Ebron,@SD,0,0,0,0,0,0,11.0,TE,0,1,53,4,0,0,0,0,1,2015
0,0,Martellus Bennett,GB,0,0,0,0,0,0,11.0,TE,0,1,55,5,0,0,0,0,1,2015
0,0,Delanie Walker,@TB,0,0,0,0,0,0,10.0,TE,0,1,43,3,0,0,0,0,1,2015
0,0,Lance Kendricks,Sea,0,0,0,0,0,0,10.0,TE,0,1,42,2,0,0,0,0,1,2015
0,0,Heath Miller,@NE,0,0,0,0,0,0,8.0,TE,0,0,84,8,0,0,0,0,1,2015
0,0,Jared Cook,Sea,0,0,0,0,0,0,8.0,TE,0,0,85,5,0,0,0,0,1,2015
0,0,Jordan Cameron,@Was,0,0,0,0,0,0,7.0,TE,0,0,73,4,0,0,0,0,1,2015
0,0,Dwayne Allen,@Buf,0,0,0,0,0,0,7.0,TE,0,1,17,3,0,0,0,0,1,2015
0,0,Gavin Escobar,NYG,0,0,0,0,0,0,6.0,TE,0,1,8,2,0,0,0,0,1,2015
0,0,Scott Chandler,Pit,0,0,0,0,0,0,6.0,TE,0,1,1,1,0,0,0,0,1,2015
0,0,Kyle Rudolph,@SF,0,0,0,0,0,0,5.0,TE,0,0,53,5,0,0,0,0,1,2015
0,0,Zach Ertz,@Atl,0,0,0,0,0,0,4.0,TE,0,0,46,3,0,0,0,0,1,2015
0,0,Vernon Davis,Min,0,0,0,0,0,0,4.0,TE,0,0,47,3,0,0,0,0,1,2015
0,0,Charles Clay,Ind,0,0,0,0,0,0,4.0,TE,0,0,43,4,0,0,0,0,1,2015
0,0,Garrett Celek,Min,0,0,0,0,0,0,4.0,TE,0,0,40,3,0,0,0,0,1,2015
0,0,Richard Rodgers,@Chi,0,0,0,0,0,0,3.0,TE,0,0,27,3,0,1,0,11,1,2015
0,0,Daniel Fells,@Dal,0,0,0,0,0,0,3.0,TE,0,0,33,3,0,0,0,0,1,2015
0,0,Gary Barnidge,@NYJ,0,0,0,0,0,0,3.0,TE,0,0,38,3,0,0,0,0,1,2015
0,0,Crockett Gillmore,@Den,0,0,0,0,0,0,2.0,TE,0,0,23,2,0,0,0,0,1,2015
0,0,Coby Fleener,@Buf,0,0,0,0,0,0,2.0,TE,1,0,5,1,0,0,0,0,1,2015
0,0,Larry Donnell,@Dal,0,0,0,0,0,0,2.0,TE,0,0,21,3,0,0,0,0,1,2015
0,0,Maxx Williams,@Den,0,0,0,0,0,0,1.0,TE,0,0,15,1,0,0,0,0,1,2015
0,0,Benjamin Watson,@Ari,0,0,0,0,0,0,1.0,TE,0,0,19,3,0,0,0,0,1,2015
0,0,Jacob Tamme,Phi,0,0,0,0,0,0,1.0,TE,0,0,19,3,0,0,0,0,1,2015
0,0,Greg Olsen,@Jax,0,0,0,0,0,0,1.0,TE,0,0,11,1,0,0,0,0,1,2015
0,0,Malcolm Johnson,@NYJ,0,0,0,0,0,0,1.0,TE,0,0,14,2,0,0,0,0,1,2015
0,0,Ryan Griffin,KC,0,0,0,0,0,0,1.0,TE,0,0,18,1,0,0,0,0,1,2015
0,0,C.J. Fiedorowicz,KC,0,0,0,0,0,0,1.0,TE,0,0,15,1,0,0,0,0,1,2015
0,0,Anthony Fasano,@TB,0,0,0,0,0,0,1.0,TE,0,0,18,1,0,0,0,0,1,2015
0,0,Jim Dray,@NYJ,0,0,0,0,0,0,1.0,TE,0,0,13,1,0,0,0,0,1,2015
0,0,Clive Walford,Cin,0,0,0,0,0,0,0.0,TE,0,0,1,1,0,0,0,0,1,2015
0,0,Levine Toilolo,Phi,0,0,0,0,0,0,0.0,TE,0,0,4,1,0,0,0,0,1,2015
