Fumble TD,Fumbles Lost,Name,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year
0,0,Calvin Johnson,NYG,0,0,0,0,0,0,28.0,WR,0,2,164,7,0,0,0,0,1,2014
0,0,Allen Hurns,@Phi,0,0,0,0,0,0,23.0,WR,0,2,110,4,0,0,0,0,1,2014
0,0,A.J. Green,@Bal,0,0,0,0,0,0,19.0,WR,0,1,131,6,0,1,0,5,1,2014
0,0,Cordarrelle Patterson,@Stl,0,0,0,0,0,0,18.0,WR,0,0,26,3,0,3,1,102,1,2014
0,0,Steve Smith,Cin,0,0,0,0,0,0,17.0,WR,0,1,118,7,0,0,0,0,1,2014
0,0,Antonio Brown,Cle,0,0,0,0,0,0,17.0,WR,0,1,116,5,0,0,0,0,1,2014
0,0,Jeremy Maclin,Jax,0,0,0,0,0,0,15.0,WR,0,1,97,4,0,0,0,0,1,2014
0,0,Kelvin Benjamin,@TB,0,0,0,0,0,0,15.0,WR,0,1,92,6,0,0,0,0,1,2014
0,0,DeAndre Hopkins,Was,0,0,0,0,0,0,14.0,WR,0,1,89,4,0,0,0,0,1,2014
0,0,Brandin Cooks,@Atl,0,0,0,0,0,0,14.0,WR,0,1,77,7,0,1,0,18,1,2014
0,0,Roddy White,NO,0,0,0,0,0,0,13.0,WR,0,1,72,5,0,0,0,0,1,2014
0,1,Mike Wallace,NE,0,0,0,0,0,0,13.0,WR,0,1,81,7,0,0,0,0,1,2014
0,1,Brandon Marshall,Buf,0,0,0,0,0,0,12.0,WR,0,1,71,8,0,0,0,0,1,2014
0,0,Terrance Williams,SF,0,0,0,0,0,0,11.0,WR,0,1,50,4,0,0,0,0,1,2014
0,0,Greg Jennings,@Stl,0,0,0,0,0,0,11.0,WR,0,1,58,6,0,0,0,0,1,2014
0,0,Michael Floyd,SD,0,0,0,0,0,0,11.0,WR,0,0,119,5,0,1,0,2,1,2014
0,0,Malcom Floyd,@Ari,0,0,0,0,0,0,11.0,WR,0,1,50,4,0,0,0,0,1,2014
0,0,Julian Edelman,@Mia,0,0,0,0,0,0,11.0,WR,0,0,95,6,0,2,0,21,1,2014
0,0,Randall Cobb,@Sea,0,0,0,0,0,0,11.0,WR,0,1,58,6,0,0,0,0,1,2014
0,0,Kendall Wright,@KC,0,0,0,0,0,0,10.0,WR,0,1,46,6,0,0,0,0,1,2014
0,0,Rod Streater,@NYJ,0,0,0,0,0,0,10.0,WR,0,1,46,5,0,0,0,0,1,2014
0,1,Julio Jones,NO,0,0,0,0,0,0,10.0,WR,0,0,116,7,0,0,0,0,1,2014
