,Year,Week,Team,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games
29,2016,1,Colts,0,0,0,Lions,332,39,1.0,DST,116,1.0,0,448,0,0
59,2016,2,Colts,0,0,1,Broncos,266,34,3.0,DST,134,1.0,0,400,0,1
77,2016,3,Colts,1,3,0,Chargers,315,22,11.0,DST,37,2.0,0,352,0,0
119,2016,4,Colts,0,0,0,Jaguars,195,30,3.0,DST,136,3.0,0,331,0,1
149,2016,5,Colts,0,1,0,Bears,397,23,3.0,DST,125,0.0,0,522,0,0
175,2016,6,Colts,0,0,1,Texans,256,26,4.0,DST,158,1.0,0,414,0,1
193,2016,7,Colts,0,1,0,Titans,207,26,12.0,DST,124,3.0,0,331,1,1
234,2016,8,Colts,0,0,0,Chiefs,334,30,3.0,DST,88,3.0,0,422,0,0
245,2016,9,Colts,0,0,1,Packers,289,26,12.0,DST,116,3.0,0,405,1,1
305,2016,11,Colts,0,0,0,Titans,254,17,9.0,DST,97,5.0,0,351,0,0
353,2016,12,Colts,0,0,0,Steelers,221,28,0.0,DST,148,0.0,0,369,0,0
359,2016,13,Colts,0,0,3,Jets,214,10,14.0,DST,36,1.0,0,250,0,1
411,2016,14,Colts,0,0,1,Texans,131,22,5.0,DST,185,2.0,0,316,0,0
417,2016,15,Colts,0,2,1,Min,248,6,21.0,DST,34,5.0,0,282,0,1
470,2016,16,Colts,1,0,0,Raiders,253,33,3.0,DST,210,1.0,0,463,0,1
493,2016,17,Colts,0,2,0,Jaguars,288,20,10.0,DST,182,2.0,0,470,0,0
528,2013,1,Colts,0,0,2,Raiders,201,17,9.0,DST,171,1.0,0,372,0,0
563,2013,2,Colts,0,1,0,Dolphins,297,24,8.0,DST,101,5.0,0,398,0,0
585,2013,3,Colts,0,1,1,49ers,139,7,14.0,DST,115,3.0,0,254,0,1
608,2013,4,Colts,0,0,3,Jaguars,165,3,26.0,DST,40,4.0,0,205,1,1
646,2013,5,Colts,1,1,1,Seahawks,205,28,14.0,DST,218,2.0,0,423,1,0
687,2013,6,Colts,0,0,0,Chargers,227,19,6.0,DST,147,2.0,0,374,0,1
705,2013,7,Colts,0,2,1,Broncos,365,33,12.0,DST,64,4.0,1,429,0,0
776,2013,9,Colts,0,0,0,Texans,340,24,2.0,DST,143,1.0,0,483,0,1
800,2013,10,Colts,0,1,0,Rams,232,38,4.0,DST,140,2.0,0,372,0,0
825,2013,11,Colts,0,1,0,Titans,218,27,5.0,DST,122,2.0,0,340,0,1
857,2013,12,Colts,1,0,0,Cardinals,290,40,5.0,DST,120,3.0,0,410,0,1
870,2013,13,Colts,0,1,3,Titans,185,14,13.0,DST,162,1.0,0,347,0,0
926,2013,14,Colts,0,0,0,Bengals,275,42,0.0,DST,155,0.0,0,430,0,1
930,2013,15,Colts,0,0,2,Texans,132,3,20.0,DST,107,4.0,1,239,0,0
964,2013,16,Colts,0,3,1,Chiefs,132,7,20.0,DST,155,5.0,0,287,0,1
997,2013,17,Colts,0,1,1,Jaguars,308,10,14.0,DST,42,3.0,0,350,0,0
1053,2014,1,Colts,0,0,0,Broncos,259,31,1.0,DST,102,1.0,0,361,0,1
1079,2014,2,Colts,0,0,1,Eagles,331,30,2.0,DST,127,0.0,0,458,0,0
1089,2014,3,Colts,0,1,2,Jaguars,239,17,20.0,DST,105,4.0,0,344,1,1
1125,2014,4,Colts,0,1,2,Titans,176,17,13.0,DST,85,3.0,0,261,0,0
1150,2014,5,Colts,0,2,1,Ravens,197,13,17.0,DST,90,4.0,0,287,0,0
1188,2014,6,Colts,0,2,0,Texans,196,28,9.0,DST,136,5.0,0,332,0,1
1209,2014,7,Colts,0,0,0,Bengals,103,0,14.0,DST,32,4.0,0,135,0,0
1253,2014,8,Colts,1,2,0,Steelers,522,51,6.0,DST,117,0.0,0,639,0,1
1285,2014,9,Colts,0,1,0,Giants,349,24,6.0,DST,89,3.0,0,438,0,1
