,Unnamed: 0,Unnamed: 0.1,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
2,2,2,0,1,4,Bengals,144,0,25.0,DST,77,5.0,0,Ravens,221,0,1,2017
31,31,31,0,1,4,Browns,293,10,20.0,DST,93,3.0,0,Ravens,386,0,2,2017
91,91,91,0,0,0,Jaguars,244,44,0.0,DST,166,0.0,0,Ravens,410,0,3,2017
117,117,117,0,0,1,Steelers,208,26,4.0,DST,173,1.0,0,Ravens,381,0,4,2017
129,129,129,0,1,0,Raiders,137,17,15.0,DST,108,3.0,0,Ravens,245,1,5,2017
158,158,158,0,2,0,Bears,111,27,21.0,DST,231,4.0,0,Ravens,342,2,6,2017
206,206,206,0,0,1,Vikings,188,24,3.0,DST,169,0.0,0,Ravens,357,0,7,2017
212,212,212,0,0,2,Dolphins,151,0,35.0,DST,45,3.0,0,Ravens,196,3,8,2017
256,256,256,0,0,1,Titans,186,23,6.0,DST,71,3.0,0,Ravens,257,0,9,2017
293,293,293,0,2,3,Packers,190,0,26.0,DST,75,6.0,0,Ravens,265,0,11,2017
327,327,327,0,1,2,Texans,237,16,12.0,DST,66,2.0,0,Ravens,303,0,12,2017
355,355,355,0,1,2,Lions,294,20,19.0,DST,78,3.0,0,Ravens,372,1,13,2017
