,Unnamed: 0,Unnamed: 0.1,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
2,2,2.0,0.0,1.0,4.0,Bengals,144.0,0.0,25.0,DST,77.0,5.0,0.0,Ravens,221.0,0.0,1,2017.0
31,31,2.0,0.0,1.0,4.0,Browns,144.0,0.0,25.0,DST,77.0,5.0,0.0,Ravens,221.0,0.0,2,2017.0
91,91,16.5,0.0,1.0,4.0,Jaguars,218.5,5.0,22.5,DST,85.0,4.0,0.0,Ravens,303.5,0.0,3,2017.0
117,117,41.333333333333336,0.0,0.6666666666666666,2.6666666666666665,Steelers,227.0,18.0,15.0,DST,112.0,2.6666666666666665,0.0,Ravens,339.0,0.0,4,2017.0
129,129,60.25,0.0,0.5,2.25,Raiders,222.25,20.0,12.25,DST,127.25,2.25,0.0,Ravens,349.5,0.0,5,2017.0
158,158,74.0,0.0,0.6,1.8,Bears,205.2,19.4,12.8,DST,123.4,2.4,0.0,Ravens,328.6,0.2,6,2017.0
206,206,88.0,0.0,0.8333333333333334,1.5,Vikings,189.5,20.666666666666668,14.166666666666666,DST,141.33333333333334,2.6666666666666665,0.0,Ravens,330.8333333333333,0.5,7,2017.0
212,212,104.85714285714286,0.0,0.7142857142857143,1.4285714285714286,Dolphins,189.28571428571428,21.142857142857142,12.571428571428571,DST,145.28571428571428,2.2857142857142856,0.0,Ravens,334.57142857142856,0.42857142857142855,8,2017.0
256,256,118.25,0.0,0.625,1.5,Titans,184.5,18.5,15.375,DST,132.75,2.375,0.0,Ravens,317.25,0.75,9,2017.0
293,293,133.55555555555554,0.0,0.5555555555555556,1.4444444444444444,Packers,184.66666666666666,19.0,14.333333333333334,DST,125.88888888888889,2.4444444444444446,0.0,Ravens,310.55555555555554,0.6666666666666666,11,2017.0
327,327,149.5,0.0,0.7,1.6,Texans,185.2,17.1,15.5,DST,120.8,2.8,0.0,Ravens,306.0,0.6,12,2017.0
355,355,165.63636363636363,0.0,0.7272727272727273,1.6363636363636365,Lions,189.9090909090909,17.0,15.181818181818182,DST,115.81818181818181,2.727272727272727,0.0,Ravens,305.72727272727275,0.5454545454545454,13,2017.0
