,50+,Points,FGA,Week,XPM,XPA,Year,Away Games,FGM,Name,Opponent,Position
1042,1.0,12.0,3.0,1,1.0,1.0,2010,1.0,3.0,John Kasay,Giants,K
1043,1.0,11.0,5.0,1,0.0,0.0,2010,0.0,3.0,Jeff Reed,Falcons,K
1044,1.0,11.0,2.0,1,3.0,3.0,2010,1.0,2.0,Mason Crosby,Eagles,K
1045,0.0,10.0,2.0,1,4.0,4.0,2010,0.0,2.0,Neil Rackers,Colts,K
1046,0.0,9.0,3.0,1,0.0,0.0,2010,0.0,3.0,Nick Folk,Ravens,K
1047,0.0,9.0,4.0,1,0.0,0.0,2010,1.0,3.0,Matt Bryant,Steelers,K
1048,1.0,8.0,1.0,1,3.0,3.0,2010,1.0,1.0,Mike Nugent,Patriots,K
1049,0.0,8.0,3.0,1,5.0,5.0,2010,0.0,1.0,Stephen Gostkowski,Bengals,K
1050,0.0,8.0,1.0,1,5.0,5.0,2010,0.0,1.0,Rob Bironas,Raiders,K
1051,0.0,8.0,2.0,1,2.0,2.0,2010,0.0,2.0,David Akers,Packers,K
1052,0.0,7.0,1.0,1,4.0,4.0,2010,0.0,1.0,Lawrence Tynes,Panthers,K
1053,1.0,7.0,1.0,1,2.0,2.0,2010,1.0,1.0,Matt Prater,Jaguars,K
1054,0.0,7.0,1.0,1,4.0,4.0,2010,0.0,1.0,Olindo Mare,49ers,K
1055,0.0,7.0,3.0,1,1.0,1.0,2010,1.0,2.0,Sebastian Janikowski,Titans,K
1056,0.0,7.0,2.0,1,1.0,1.0,2010,0.0,2.0,Robbie Gould,Lions,K
1057,0.0,7.0,2.0,1,1.0,1.0,2010,0.0,2.0,Graham Gano,Cowboys,K
1058,0.0,7.0,3.0,1,1.0,1.0,2010,1.0,2.0,Dan Carpenter,Bills,K
1059,0.0,7.0,3.0,1,1.0,1.0,2010,0.0,2.0,Josh Brown,Cardinals,K
1060,0.0,6.0,1.0,1,3.0,3.0,2010,1.0,1.0,Adam Vinatieri,Texans,K
1061,0.0,6.0,1.0,1,3.0,3.0,2010,0.0,1.0,Josh Scobee,Broncos,K
1062,0.0,6.0,2.0,1,0.0,0.0,2010,1.0,2.0,Joe Nedney,Seahawks,K
1063,1.0,6.0,2.0,1,1.0,1.0,2010,0.0,1.0,Rian Lindell,Dolphins,K
1064,0.0,5.0,1.0,1,2.0,2.0,2010,1.0,1.0,Jay Feely,Rams,K
