,50+,Points,FGA,Week,XPM,XPA,Year,Away Games,FGM,Name,Opponent,Position
0,0.0,28561.0,256.0,1,1.0,1.0,2013,0.0,256.0,Greg Zuerlein,Cardinals,K
1,0.0,20736.0,81.0,1,81.0,81.0,2013,0.0,81.0,Dan Bailey,Giants,K
2,0.0,14641.0,81.0,1,16.0,16.0,2013,1.0,81.0,Caleb Sturgis,Browns,K
3,0.0,14641.0,81.0,1,16.0,16.0,2013,0.0,81.0,Garrett Hartley,Falcons,K
4,0.0,14641.0,81.0,1,16.0,16.0,2013,1.0,81.0,Stephen Gostkowski,Bills,K
5,0.0,10000.0,81.0,1,1.0,1.0,2013,0.0,81.0,Nick Folk,Buccaneers,K
6,0.0,10000.0,81.0,1,256.0,256.0,2013,0.0,16.0,Phil Dawson,Packers,K
7,0.0,10000.0,81.0,1,1.0,1.0,2013,1.0,81.0,Rob Bironas,Steelers,K
8,0.0,10000.0,16.0,1,256.0,256.0,2013,0.0,16.0,David Akers,Min,K
9,0.0,6561.0,16.0,1,81.0,81.0,2013,1.0,16.0,Justin Tucker,Broncos,K
10,1.0,4096.0,1.0,1,81.0,81.0,2013,1.0,1.0,Blair Walsh,Lions,K
11,1.0,4096.0,1.0,1,81.0,81.0,2013,0.0,1.0,Robbie Gould,Bengals,K
12,0.0,2401.0,0.0,1,2401.0,2401.0,2013,0.0,0.0,Matt Prater,Ravens,K
13,0.0,2401.0,1.0,1,256.0,256.0,2013,1.0,1.0,Alex Henery,Redskins,K
14,0.0,2401.0,16.0,1,256.0,256.0,2013,1.0,1.0,Randy Bullock,Chargers,K
15,0.0,2401.0,1.0,1,256.0,256.0,2013,1.0,1.0,Josh Brown,Cowboys,K
16,0.0,1296.0,16.0,1,0.0,0.0,2013,1.0,16.0,Stephen Hauschka,Panthers,K
17,0.0,1296.0,16.0,1,81.0,81.0,2013,1.0,1.0,Jay Feely,Rams,K
18,0.0,625.0,1.0,1,16.0,16.0,2013,1.0,1.0,Rian Lindell,Jets,K
19,0.0,625.0,16.0,1,16.0,16.0,2013,1.0,1.0,Sebastian Janikowski,Colts,K
20,0.0,625.0,1.0,1,16.0,16.0,2013,1.0,1.0,Matt Bryant,Saints,K
21,0.0,256.0,0.0,1,256.0,256.0,2013,1.0,0.0,Ryan Succop,Jaguars,K
22,0.0,256.0,0.0,1,256.0,256.0,2013,0.0,0.0,Nick Novak,Texans,K
23,0.0,256.0,1.0,1,1.0,1.0,2013,0.0,1.0,Billy Cundiff,Dolphins,K
24,0.0,256.0,0.0,1,256.0,256.0,2013,1.0,0.0,Mason Crosby,49ers,K
25,0.0,81.0,0.0,1,81.0,81.0,2013,0.0,0.0,Adam Vinatieri,Raiders,K
26,0.0,81.0,0.0,1,81.0,81.0,2013,1.0,0.0,Mike Nugent,Bears,K
27,0.0,81.0,1.0,1,81.0,81.0,2013,0.0,0.0,Kai Forbath,Eagles,K
28,0.0,81.0,0.0,1,81.0,81.0,2013,0.0,0.0,Dan Carpenter,Patriots,K
29,0.0,1.0,0.0,1,1.0,1.0,2013,0.0,0.0,Shaun Suisham,Titans,K
30,0.0,1.0,0.0,1,1.0,1.0,2013,0.0,0.0,Graham Gano,Seahawks,K
31,0.0,0.0,0.0,1,0.0,0.0,2013,0.0,0.0,Sam Martin,Min,K
32,0.0,50625.0,256.0,2,81.0,81.0,2013,1.0,256.0,Nick Novak,Eagles,K
33,16.0,38416.0,81.0,2,1.0,1.0,2013,1.0,81.0,Dan Bailey,Chiefs,K
34,0.0,28561.0,625.0,2,1.0,1.0,2013,0.0,256.0,Sebastian Janikowski,Jaguars,K
35,0.0,28561.0,256.0,2,1.0,1.0,2013,0.0,256.0,Jay Feely,Lions,K
36,0.0,20736.0,81.0,2,81.0,81.0,2013,1.0,81.0,Blair Walsh,Bears,K
37,0.0,20736.0,256.0,2,81.0,81.0,2013,0.0,81.0,Alex Henery,Chargers,K
38,1.0,20736.0,256.0,2,1.0,1.0,2013,0.0,81.0,Dan Carpenter,Panthers,K
39,0.0,14641.0,16.0,2,625.0,625.0,2013,1.0,16.0,Matt Prater,Giants,K
40,0.0,14641.0,81.0,2,16.0,16.0,2013,1.0,81.0,Graham Gano,Bills,K
41,0.0,14641.0,81.0,2,16.0,16.0,2013,0.0,81.0,Josh Brown,Broncos,K
42,0.0,10000.0,256.0,2,1.0,1.0,2013,1.0,81.0,Garrett Hartley,Buccaneers,K
43,0.0,6561.0,16.0,2,81.0,81.0,2013,0.0,16.0,Stephen Hauschka,49ers,K
44,0.0,4096.0,81.0,2,16.0,16.0,2013,0.0,16.0,Adam Vinatieri,Dolphins,K
45,1.0,4096.0,1.0,2,81.0,81.0,2013,1.0,1.0,Caleb Sturgis,Colts,K
46,0.0,4096.0,16.0,2,16.0,16.0,2013,0.0,16.0,Mike Nugent,Steelers,K
47,1.0,4096.0,16.0,2,0.0,0.0,2013,1.0,16.0,Billy Cundiff,Ravens,K
48,0.0,4096.0,1.0,2,625.0,625.0,2013,0.0,1.0,Mason Crosby,Redskins,K
49,0.0,2401.0,1.0,2,256.0,256.0,2013,0.0,1.0,Robbie Gould,Min,K
50,0.0,2401.0,81.0,2,1.0,1.0,2013,0.0,16.0,Stephen Gostkowski,Jets,K
51,0.0,2401.0,1.0,2,256.0,256.0,2013,0.0,1.0,Matt Bryant,Rams,K
52,0.0,1296.0,1.0,2,81.0,81.0,2013,1.0,1.0,Greg Zuerlein,Falcons,K
53,0.0,1296.0,16.0,2,81.0,81.0,2013,1.0,1.0,Rob Bironas,Texans,K
54,0.0,625.0,16.0,2,16.0,16.0,2013,0.0,1.0,Ryan Succop,Cowboys,K
55,0.0,256.0,1.0,2,1.0,1.0,2013,1.0,1.0,Shaun Suisham,Bengals,K
56,0.0,256.0,1.0,2,1.0,1.0,2013,1.0,1.0,Nick Folk,Patriots,K
57,0.0,81.0,1.0,2,0.0,0.0,2013,1.0,1.0,Josh Scobee,Raiders,K
58,0.0,81.0,1.0,2,0.0,0.0,2013,1.0,1.0,Phil Dawson,Seahawks,K
59,0.0,81.0,16.0,2,81.0,81.0,2013,1.0,0.0,David Akers,Cardinals,K
60,0.0,16.0,16.0,2,16.0,16.0,2013,0.0,0.0,Justin Tucker,Browns,K
61,0.0,16.0,1.0,2,16.0,16.0,2013,1.0,0.0,John Potter,Packers,K
62,0.0,16.0,1.0,2,16.0,16.0,2013,0.0,0.0,Rian Lindell,Saints,K
63,0.0,16.0,81.0,2,16.0,16.0,2013,0.0,0.0,Randy Bullock,Titans,K
64,1.0,50625.0,81.0,3,256.0,256.0,2013,0.0,81.0,Matt Prater,Raiders,K
65,0.0,38416.0,625.0,3,16.0,16.0,2013,1.0,256.0,Ryan Succop,Eagles,K
66,1.0,28561.0,81.0,3,16.0,16.0,2013,0.0,81.0,Stephen Gostkowski,Buccaneers,K
67,1.0,28561.0,256.0,3,16.0,16.0,2013,1.0,81.0,Matt Bryant,Dolphins,K
68,0.0,20736.0,81.0,3,81.0,81.0,2013,0.0,81.0,Justin Tucker,Texans,K
69,0.0,20736.0,81.0,3,81.0,81.0,2013,1.0,81.0,Mason Crosby,Bengals,K
70,0.0,20736.0,256.0,3,0.0,0.0,2013,1.0,256.0,Dan Carpenter,Jets,K
71,0.0,14641.0,81.0,3,16.0,16.0,2013,0.0,81.0,Shaun Suisham,Bears,K
72,1.0,14641.0,16.0,3,81.0,81.0,2013,0.0,16.0,Caleb Sturgis,Falcons,K
73,0.0,10000.0,16.0,3,256.0,625.0,2013,1.0,16.0,Robbie Gould,Steelers,K
74,1.0,10000.0,1.0,3,625.0,625.0,2013,0.0,1.0,Graham Gano,Giants,K
75,0.0,6561.0,16.0,3,81.0,81.0,2013,0.0,16.0,Blair Walsh,Browns,K
76,0.0,6561.0,81.0,3,81.0,81.0,2013,1.0,16.0,Adam Vinatieri,49ers,K
77,0.0,6561.0,1.0,3,1296.0,1296.0,2013,0.0,1.0,Stephen Hauschka,Jaguars,K
78,0.0,6561.0,16.0,3,81.0,81.0,2013,0.0,16.0,Nick Folk,Bills,K
79,0.0,6561.0,81.0,3,0.0,0.0,2013,1.0,81.0,Randy Bullock,Ravens,K
80,0.0,6561.0,16.0,3,81.0,81.0,2013,1.0,16.0,David Akers,Redskins,K
81,0.0,4096.0,16.0,3,16.0,16.0,2013,0.0,16.0,John Potter,Lions,K
82,0.0,4096.0,81.0,3,16.0,16.0,2013,0.0,16.0,Rob Bironas,Chargers,K
83,0.0,2401.0,0.0,3,1.0,1.0,2013,1.0,0.0,Spencer Lanning,Min,K
84,0.0,2401.0,1.0,3,256.0,256.0,2013,0.0,1.0,Garrett Hartley,Cardinals,K
85,0.0,2401.0,16.0,3,256.0,256.0,2013,0.0,1.0,Dan Bailey,Rams,K
86,0.0,1296.0,1.0,3,81.0,81.0,2013,1.0,1.0,Billy Cundiff,Min,K
87,0.0,625.0,1.0,3,16.0,16.0,2013,1.0,1.0,Josh Scobee,Seahawks,K
88,0.0,625.0,16.0,3,16.0,16.0,2013,1.0,1.0,Nick Novak,Titans,K
89,0.0,256.0,1.0,3,256.0,625.0,2013,0.0,0.0,Mike Nugent,Packers,K
90,0.0,256.0,16.0,3,1.0,1.0,2013,0.0,1.0,Alex Henery,Chiefs,K
91,0.0,81.0,16.0,3,0.0,0.0,2013,1.0,1.0,Rian Lindell,Patriots,K
