,Unnamed: 0,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year,Away Games
2620,11,0,2,2,Stephen Gostkowski,Titans,10.0,K,1,4,4,2012,1
2642,33,2,5,4,Stephen Gostkowski,Cardinals,16.0,K,2,0,0,2012,0
2681,72,0,3,3,Stephen Gostkowski,Ravens,12.0,K,3,3,3,2012,1
2716,107,0,3,1,Stephen Gostkowski,Bills,10.0,K,4,7,7,2012,1
2752,143,0,1,1,Stephen Gostkowski,Broncos,7.0,K,5,4,4,2012,0
2776,167,0,3,3,Stephen Gostkowski,Seahawks,11.0,K,6,2,2,2012,1
2809,200,0,2,2,Stephen Gostkowski,Jets,9.0,K,7,3,3,2012,0
2833,224,0,1,1,Stephen Gostkowski,Rams,9.0,K,8,6,6,2012,1
2884,275,0,3,3,Stephen Gostkowski,Bills,13.0,K,10,4,4,2012,0
2919,310,0,2,1,Stephen Gostkowski,Colts,11.0,K,11,8,8,2012,0
2956,347,0,1,0,Stephen Gostkowski,Jets,7.0,K,12,7,7,2012,1
2978,369,0,4,3,Stephen Gostkowski,Dolphins,11.0,K,13,2,2,2012,1
3023,414,0,0,0,Stephen Gostkowski,Texans,6.0,K,14,6,6,2012,0
3045,436,0,2,2,Stephen Gostkowski,49ers,10.0,K,15,4,4,2012,0
3071,462,0,3,3,Stephen Gostkowski,Jaguars,11.0,K,16,2,2,2012,1
3123,514,0,0,0,Stephen Gostkowski,Dolphins,4.0,K,17,4,4,2012,0
