,Unnamed: 0,Unnamed: 0.1,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
52,52,52,0,0,0,Chargers,323,17,5.0,DST,44,1.0,0,Dolphins,367,0,2,2017
75,75,75,0,1,0,Jets,233,20,8.0,DST,103,2.0,0,Dolphins,336,0,3,2017
114,114,114,0,0,0,Saints,261,20,5.0,DST,86,1.0,0,Dolphins,347,0,4,2017
127,127,127,0,2,0,Titans,119,10,23.0,DST,69,6.0,0,Dolphins,188,1,5,2017
169,169,169,0,0,1,Falcons,239,17,8.0,DST,100,2.0,0,Dolphins,339,0,6,2017
196,196,196,0,1,1,Jets,180,28,7.0,DST,92,3.0,0,Dolphins,272,0,7,2017
236,236,236,1,0,0,Ravens,121,40,2.0,DST,174,0.0,0,Dolphins,295,0,8,2017
257,257,257,0,1,1,Raiders,295,27,6.0,DST,84,1.0,0,Dolphins,379,0,9,2017
291,291,291,0,0,0,Panthers,254,45,0.0,DST,294,0.0,0,Dolphins,548,0,10,2017
317,317,317,0,0,0,Buccaneers,268,30,1.0,DST,53,1.0,0,Dolphins,321,0,11,2017
331,331,331,0,1,1,Patriots,221,35,11.0,DST,196,1.0,0,Dolphins,417,1,12,2017
352,352,352,1,0,3,Broncos,167,9,28.0,DST,103,3.0,2,Dolphins,270,1,13,2017
