,Unnamed: 0,Unnamed: 0.1,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
30,30,30.0,1.0,4.0,4.0,Cody Parkey,Chargers,15.0,K,2,1.0,1.0,2017.0
95,95,30.0,1.0,4.0,4.0,Cody Parkey,Jets,15.0,K,3,1.0,1.0,2017.0
152,152,62.5,0.5,2.0,2.0,Cody Parkey,Dolphins,7.5,K,5,1.0,0.5,2017.0
170,170,92.33333333333333,0.3333333333333333,1.6666666666666667,1.6666666666666667,Cody Parkey,Falcons,6.333333333333333,K,6,1.3333333333333333,0.6666666666666666,2017.0
202,202,111.75,0.25,1.75,1.75,Cody Parkey,Dolphins,6.75,K,7,1.5,1.0,2017.0
241,241,129.8,0.2,1.6,1.6,Cody Parkey,Ravens,6.8,K,8,2.0,1.6,2017.0
261,261,148.33333333333334,0.16666666666666666,1.5,1.3333333333333333,Cody Parkey,Dolphins,5.666666666666667,K,9,1.6666666666666667,1.3333333333333333,2017.0
293,293,164.42857142857142,0.14285714285714285,1.4285714285714286,1.2857142857142858,Cody Parkey,Panthers,5.428571428571429,K,10,1.7142857142857142,1.2857142857142858,2017.0
309,309,180.5,0.125,1.25,1.125,Cody Parkey,Dolphins,5.125,K,11,1.875,1.5,2017.0
347,347,194.77777777777777,0.1111111111111111,1.3333333333333333,1.2222222222222223,Cody Parkey,Patriots,5.444444444444445,K,12,1.8888888888888888,1.5555555555555556,2017.0
372,372,210.0,0.1,1.3,1.2,Cody Parkey,Dolphins,5.4,K,13,1.9,1.6,2017.0
