,Unnamed: 0,Unnamed: 0.1,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
22,22,22.0,0.0,1.0,1.0,Panthers,171.0,23.0,5.0,DST,116.0,0.0,0.0,49ers,287.0,0.0,1,2017.0
46,46,22.0,0.0,1.0,1.0,Steelers,171.0,23.0,5.0,DST,116.0,0.0,0.0,49ers,287.0,0.0,2,2017.0
86,86,34.0,0.0,0.5,0.5,Rams,176.0,17.5,7.5,DST,123.5,1.5,0.0,49ers,299.5,0.0,3,2017.0
104,104,51.333333333333336,0.0,1.0,0.3333333333333333,Cardinals,214.66666666666666,25.333333333333332,6.333333333333333,DST,124.33333333333333,1.0,0.0,49ers,339.0,0.0,4,2017.0
144,144,64.5,0.0,0.75,0.5,Colts,240.25,23.5,7.75,DST,106.0,2.25,0.0,49ers,346.25,0.0,5,2017.0
176,176,80.4,0.0,0.6,0.6,Redskins,249.8,24.0,7.6,DST,116.6,2.6,0.0,49ers,366.4,0.0,6,2017.0
211,211,96.33333333333333,0.0,0.6666666666666666,0.6666666666666666,Cowboys,262.3333333333333,24.333333333333332,7.333333333333333,DST,112.83333333333333,2.3333333333333335,0.0,49ers,375.1666666666667,0.0,7,2017.0
232,232,112.71428571428571,0.0,0.5714285714285714,0.5714285714285714,Eagles,258.57142857142856,26.571428571428573,6.285714285714286,DST,134.57142857142858,2.0,0.0,49ers,393.14285714285717,0.0,8,2017.0
254,254,127.625,0.0,0.5,0.625,Cardinals,250.25,27.375,6.125,DST,131.75,2.125,0.0,49ers,382.0,0.0,9,2017.0
281,281,141.66666666666666,0.0,0.5555555555555556,0.6666666666666666,Giants,244.77777777777777,26.555555555555557,6.333333333333333,DST,135.66666666666666,1.8888888888888888,0.0,49ers,380.44444444444446,0.0,10,2017.0
347,347,155.6,0.0,0.6,0.6,Steelers,246.3,26.0,6.3,DST,133.5,2.0,0.0,49ers,379.8,0.0,12,2017.0
369,369,173.0,0.0,0.5454545454545454,0.6363636363636364,Bears,244.63636363636363,25.818181818181817,6.0,DST,129.54545454545453,1.8181818181818181,0.0,49ers,374.1818181818182,0.0,13,2017.0
