,Unnamed: 0,Unnamed: 0.1,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
8,8,8,0,0,2,Jets,176,12,12.0,DST,38,1.0,0,Bills,214,0,1,2017
37,37,37,0,0,0,Panthers,178,9,13.0,DST,77,6.0,0,Bills,255,0,2,2017
72,72,72,0,0,2,Broncos,255,16,11.0,DST,111,3.0,0,Bills,366,0,3,2017
96,96,96,0,1,2,Falcons,242,17,17.0,DST,147,1.0,0,Bills,389,1,4,2017
133,133,133,0,1,2,Bengals,323,20,11.0,DST,65,1.0,0,Bills,388,0,5,2017
194,194,194,0,2,1,Buccaneers,378,27,8.0,DST,69,1.0,0,Bills,447,0,7,2017
217,217,217,0,2,2,Raiders,313,14,18.0,DST,54,0.0,0,Bills,367,1,8,2017
261,261,261,0,0,0,Jets,137,34,1.0,DST,194,1.0,0,Bills,331,0,9,2017
289,289,289,0,1,0,Saints,184,47,2.0,DST,298,0.0,0,Bills,482,0,10,2017
315,315,315,0,0,0,Chargers,283,54,1.0,DST,146,1.0,0,Bills,429,0,11,2017
330,330,330,0,0,1,Chiefs,181,10,11.0,DST,55,2.0,0,Bills,236,0,12,2017
367,367,367,0,0,1,Patriots,244,23,6.0,DST,191,3.0,0,Bills,435,0,13,2017
