,Unnamed: 0,Unnamed: 0.1,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
8,8,8.0,0.0,3.0,3.0,Kai Forbath,Vikings,11.0,K,1,3.0,2.0,2017.0
60,60,8.0,0.0,3.0,3.0,Kai Forbath,Steelers,11.0,K,2,3.0,2.0,2017.0
74,74,34.0,0.0,2.0,2.0,Kai Forbath,Vikings,7.0,K,3,2.0,1.0,2017.0
127,127,47.333333333333336,0.0,2.0,2.0,Kai Forbath,Vikings,8.0,K,4,2.6666666666666665,2.0,2017.0
141,141,67.25,0.0,1.75,1.5,Kai Forbath,Bears,6.25,K,5,2.25,1.75,2017.0
161,161,82.0,0.0,1.8,1.6,Kai Forbath,Vikings,6.6,K,6,2.2,1.8,2017.0
188,188,95.16666666666667,0.16666666666666666,2.0,1.8333333333333333,Kai Forbath,Vikings,7.666666666666667,K,7,2.1666666666666665,1.8333333333333333,2017.0
219,219,108.42857142857143,0.42857142857142855,2.5714285714285716,2.4285714285714284,Kai Forbath,Browns,9.714285714285714,K,8,2.0,1.5714285714285714,2017.0
276,276,122.25,0.5,2.75,2.625,Kai Forbath,Redskins,10.375,K,10,2.0,1.5,2017.0
315,315,139.33333333333334,0.5555555555555556,2.5555555555555554,2.4444444444444446,Kai Forbath,Vikings,10.333333333333334,K,11,2.3333333333333335,1.8888888888888888,2017.0
346,346,156.9,0.5,2.6,2.3,Kai Forbath,Lions,9.9,K,12,2.4,2.0,2017.0
389,389,174.0909090909091,0.45454545454545453,2.5454545454545454,2.1818181818181817,Kai Forbath,Falcons,9.545454545454545,K,13,2.5454545454545454,2.090909090909091,2017.0
