,Year,Week,Team,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games
2063,2012,1,Saints,1,0,0,Redskins,306,40,10.0,DST,153,2.0,0,459,1,0
2107,2012,2,Saints,0,1,0,Panthers,244,35,3.0,DST,219,1.0,0,463,0,1
2124,2012,3,Saints,0,2,1,Chiefs,237,27,10.0,DST,273,3.0,0,510,0,0
2168,2012,4,Saints,0,1,1,Packers,319,28,4.0,DST,102,0.0,0,421,0,1
2188,2012,5,Saints,0,1,1,Chargers,310,24,10.0,DST,117,5.0,0,427,0,0
2254,2012,7,Saints,0,0,0,Buccaneers,411,28,2.0,DST,102,2.0,0,513,0,1
2280,2012,8,Saints,0,1,0,Broncos,305,34,2.0,DST,225,0.0,0,530,0,1
2286,2012,9,Saints,0,1,1,Eagles,226,13,24.0,DST,221,7.0,0,447,1,0
2331,2012,10,Saints,0,0,1,Falcons,408,27,4.0,DST,46,1.0,0,454,0,0
2346,2012,11,Saints,0,0,2,Raiders,284,17,17.0,DST,120,3.0,0,404,1,1
2388,2012,12,Saints,1,1,1,49ers,231,31,6.0,DST,144,0.0,0,375,0,0
2425,2012,13,Saints,0,1,0,Falcons,159,23,4.0,DST,124,1.0,0,283,0,1
2446,2012,14,Saints,0,0,2,Giants,259,52,10.0,DST,135,0.0,0,394,1,1
2466,2012,15,Saints,0,1,4,Buccaneers,319,0,22.0,DST,67,2.0,0,386,0,0
2519,2012,16,Saints,0,1,0,Cowboys,406,31,4.0,DST,40,2.0,0,446,0,1
2541,2012,17,Saints,0,0,1,Panthers,257,44,9.0,DST,273,1.0,0,530,1,0
