,Unnamed: 0,Unnamed: 0.1,Fumble TD,Fumbles Lost,Name,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year
98,98,98,0,1,Jamison Crowder,Redskins,0,0,0,0,0,0,0.0,WR,0,0,14,3,0,0,0,0,1,2017
153,153,153,0,0,Jamison Crowder,Rams,0,0,0,0,0,0,4.0,WR,0,0,47,4,0,0,0,0,2,2017
285,285,285,0,1,Jamison Crowder,Redskins,0,0,0,0,0,0,4.0,WR,0,0,52,6,0,0,0,0,3,2017
452,452,452,0,0,Jamison Crowder,Chiefs,0,0,0,0,0,0,0.0,WR,0,0,-7,1,0,0,0,0,4,2017
627,627,627,0,0,Jamison Crowder,Redskins,0,0,0,0,0,0,2.0,WR,0,0,15,3,0,1,0,11,6,2017
737,737,737,0,0,Jamison Crowder,Eagles,0,0,0,0,0,0,2.0,WR,0,0,28,2,0,1,0,3,7,2017
783,783,783,0,0,Jamison Crowder,Redskins,0,0,0,0,0,0,13.0,WR,0,0,123,9,0,2,0,12,8,2017
991,991,991,0,0,Jamison Crowder,Redskins,0,0,0,0,0,0,7.0,WR,0,0,76,4,0,1,0,5,10,2017
1098,1098,1098,0,0,Jamison Crowder,Saints,0,0,0,0,0,0,7.0,WR,0,0,72,7,0,1,0,4,11,2017
1179,1179,1179,0,0,Jamison Crowder,Redskins,0,0,0,0,0,0,20.0,WR,0,1,141,7,0,0,0,0,12,2017
1330,1330,1330,0,1,Jamison Crowder,Cowboys,0,0,0,0,0,0,5.0,WR,0,0,67,5,0,0,0,0,13,2017
