,Unnamed: 0,Unnamed: 0.1,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
0,0,0.0,0.0,3.0,1.0,Texans,110.0,7.0,31.0,DST,93.0,10.0,0.0,Jaguars,203.0,1.0,1,2017.0
57,57,0.0,0.0,3.0,1.0,Titans,110.0,7.0,31.0,DST,93.0,10.0,0.0,Jaguars,203.0,1.0,2,2017.0
66,66,28.5,0.0,1.5,1.0,Ravens,160.5,22.0,17.0,DST,136.0,5.5,0.0,Jaguars,296.5,0.5,3,2017.0
98,98,41.0,0.0,1.3333333333333333,1.3333333333333333,Jets,124.33333333333333,17.0,16.333333333333332,DST,135.33333333333334,4.333333333333333,0.0,Jaguars,259.6666666666667,0.3333333333333333,4,2017.0
126,126,55.25,0.0,1.25,1.25,Steelers,147.0,18.5,16.25,DST,165.5,4.5,0.0,Jaguars,312.5,0.5,5,2017.0
175,175,69.4,0.0,1.0,2.0,Rams,177.8,16.6,19.2,DST,146.4,4.0,0.0,Jaguars,324.2,0.8,6,2017.0
184,184,87.0,0.0,1.0,1.6666666666666667,Colts,166.0,18.333333333333332,17.0,DST,145.66666666666666,3.8333333333333335,0.0,Jaguars,311.6666666666667,0.6666666666666666,7,2017.0
241,241,100.85714285714286,0.0,0.8571428571428571,1.4285714285714286,Bengals,161.71428571428572,15.714285714285714,17.428571428571427,DST,138.57142857142858,4.714285714285714,0.0,Jaguars,300.2857142857143,0.5714285714285714,9,2017.0
277,277,118.375,0.0,0.75,1.25,Chargers,156.375,14.625,17.125,DST,124.875,4.375,0.0,Jaguars,281.25,0.625,10,2017.0
292,292,136.0,0.0,0.7777777777777778,1.2222222222222223,Browns,165.11111111111111,14.88888888888889,16.11111111111111,DST,120.66666666666667,3.888888888888889,0.0,Jaguars,285.77777777777777,0.5555555555555556,11,2017.0
328,328,151.6,0.0,1.0,1.3,Cardinals,162.0,14.1,17.3,DST,113.6,4.0,0.0,Jaguars,275.6,0.6,12,2017.0
358,358,167.63636363636363,0.0,1.0,1.2727272727272727,Colts,168.72727272727272,15.272727272727273,16.818181818181817,DST,113.0909090909091,3.727272727272727,0.0,Jaguars,281.8181818181818,0.6363636363636364,13,2017.0
