,Unnamed: 0,Unnamed: 0.1,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
13,13,13,0,1,1,Broncos,181,24,9.0,DST,140,4.0,0,Chargers,321,0,1,2017
50,50,50,0,0,0,Dolphins,225,19,6.0,DST,111,2.0,0,Chargers,336,0,2,2017
79,79,79,0,0,0,Chiefs,122,24,6.0,DST,189,5.0,0,Chargers,311,0,3,2017
122,122,122,0,0,0,Eagles,240,26,2.0,DST,214,1.0,0,Chargers,454,0,4,2017
139,139,139,0,1,1,Giants,183,22,10.0,DST,152,5.0,0,Chargers,335,0,5,2017
167,167,167,0,0,2,Raiders,165,16,9.0,DST,109,1.0,0,Chargers,274,0,6,2017
183,183,183,0,2,1,Broncos,182,0,27.0,DST,69,5.0,0,Chargers,251,1,7,2017
234,234,234,0,0,0,Patriots,317,21,4.0,DST,97,3.0,0,Chargers,414,0,8,2017
269,269,269,1,0,2,Jaguars,263,20,13.0,DST,135,3.0,0,Chargers,398,0,10,2017
294,294,294,0,1,5,Bills,220,24,26.0,DST,173,1.0,0,Chargers,393,2,11,2017
320,320,320,0,0,2,Cowboys,168,6,22.0,DST,79,2.0,0,Chargers,247,1,12,2017
361,361,361,0,1,1,Browns,202,10,14.0,DST,89,3.0,0,Chargers,291,0,13,2017
