,Unnamed: 0.1_x,Unnamed: 0.1.1_x,Fumble TD,Fumbles Lost,Name,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year,Unnamed: 0.1_y,Unnamed: 0.1.1_y,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns
0,15,15.0,0.0,0.0,Martellus Bennett,Packers,0.0,0.0,0.0,0.0,0.0,0.0,4.0,TE,0.0,0.0,43.0,3.0,0.0,0.0,0.0,0.0,1,2017.0,9,9.0,0.0,1.0,0.0,Steelers,135.0,9.0,12.0,DST,90.0,3.0,0.0,Packers,225.0,0.0
1,65,15.0,0.0,0.0,Martellus Bennett,Falcons,0.0,0.0,0.0,0.0,0.0,0.0,4.0,TE,0.0,0.0,43.0,3.0,0.0,0.0,0.0,0.0,2,2017.0,34,14.0,0.0,0.0,0.0,Packers,176.0,17.0,8.0,DST,125.0,4.0,0.0,Falcons,301.0,0.0
2,132,40.0,0.0,0.0,Martellus Bennett,Packers,0.0,0.0,0.0,0.0,0.0,0.0,4.0,TE,0.0,0.0,45.0,4.0,0.0,0.0,0.0,0.0,3,2017.0,78,32.5,0.0,0.5,0.0,Bengals,179.0,21.5,7.5,DST,115.5,3.0,0.0,Packers,294.5,0.0
3,182,70.66666666666667,0.0,0.0,Martellus Bennett,Packers,0.0,0.0,0.0,0.0,0.0,0.0,3.0,TE,0.0,0.0,34.0,3.6666666666666665,0.0,0.0,0.0,0.0,4,2017.0,101,47.66666666666666,0.0,0.6666666666666666,0.0,Bears,183.0,22.33333333333333,7.0,DST,113.66666666666669,3.0,0.0,Packers,296.6666666666667,0.0
4,222,98.5,0.0,0.0,Martellus Bennett,Cowboys,0.0,0.0,0.0,0.0,0.0,0.0,3.0,TE,0.0,0.0,35.25,4.25,0.0,0.0,0.0,0.0,5,2017.0,145,63.25,0.0,0.25,0.5,Packers,231.75,24.25,8.0,DST,107.5,3.0,0.0,Cowboys,339.25,0.0
5,282,123.2,0.0,0.0,Martellus Bennett,Vikings,0.0,0.0,0.0,0.0,0.0,0.0,3.4,TE,0.0,0.0,38.8,4.0,0.0,0.0,0.0,0.0,6,2017.0,160,79.0,0.0,0.2,0.8,Packers,229.2,18.6,7.8,DST,80.0,2.4,0.0,Vikings,309.2,0.0
6,340,149.66666666666666,0.0,0.0,Martellus Bennett,Packers,0.0,0.0,0.0,0.0,0.0,0.0,3.1666666666666665,TE,0.0,0.0,36.0,3.6666666666666665,0.0,0.0,0.0,0.0,7,2017.0,195,92.16666666666669,0.0,1.1666666666666667,0.6666666666666666,Saints,206.33333333333331,22.5,8.666666666666666,DST,119.83333333333331,1.8333333333333333,0.0,Packers,326.1666666666667,0.16666666666666666
7,464,176.85714285714286,0.0,0.0,Martellus Bennett,Broncos,0.0,0.0,0.0,0.0,0.0,0.0,2.8571428571428568,TE,0.0,0.0,33.285714285714285,3.4285714285714284,0.0,0.0,0.0,0.0,10,2017.0,290,135.875,0.25,0.25,0.625,Patriots,192.375,24.75,8.0,DST,88.375,2.375,0.0,Broncos,280.75,0.25
8,520,212.75,0.0,0.0,Martellus Bennett,Raiders,0.0,0.0,0.0,0.0,0.0,0.0,2.875,TE,0.0,0.0,33.875,3.375,0.0,0.0,0.0,0.0,11,2017.0,318,142.22222222222226,0.0,0.6666666666666666,0.0,Patriots,244.55555555555557,23.777777777777782,4.777777777777779,DST,116.55555555555556,1.4444444444444444,0.0,Raiders,361.11111111111114,0.0
